Group;Section;QPos;Question;Type;Options;Role;TriggerReportOn;Surveillance;Actions
Repérage clinique;Repérage clinique;18;Signes d’insuffisance veineuse des membres inférieur +- d’ulcère veineux;radio;Oui|Non;;Oui;Signes d’insuffisance veineuse des membres inférieur +- d’ulcère veineux;"Devant des signes d’insuffisance veineuse, demander un échodoppler veineux des membres inférieurs + l’avis d’un médecin vasculaire. Proposer le port de chaussettes-bas de contention classe 2 en attendant. Soin infirmier d’ulcère si nécessaire"
Repérage clinique;Repérage clinique;19;Signes d’insuffisance cardiaque;radio;Oui|Non;;Oui;Signes d’insuffisance cardiaque;"Avis cardiologique pour faire le bilan de signe d’insuffisance cardiaque avec échographie cardiaque et BNP de base au minimum"
Repérage clinique;Repérage clinique;20;Absence de pouls des membres inférieur +- ulcères d’allure artériel;radio;Oui|Non;;Oui;Absence de pouls des membres inférieur +- ulcères d’allure artériel;"Devant des signe faisant évoquer une AOMI, demander un échodoppler artériel des membres inférieurs + un avis médecin vasculaire. Soin infirmier d’ulcère si nécessaire"
Repérage clinique;Repérage clinique;21;Souffle cardiaque;radio;Oui|Non;;Oui;Souffle cardiaque;"Avis cardiologique pour faire le bilan d’un souffle cardiaque avec au minumum une échographie cardiaque"
Repérage clinique;Repérage clinique;22;HTA;radio;Oui|Non;;Oui;Doute sur HTA;"Devant une hypertension artérielle en ville : Effectuer une automesure tensionnelle ou poser un Holter tensionnel. En cas d’HTA avérée, prise en charge spécifique"
Repérage clinique;Repérage clinique;23;Hypotension artériel;radio;Oui|Non;;Oui;Doute sur HTO;"Faire le test d’HTO. Si positif réaliser le bilan étiologique. RHD + traitement spécifique"
Repérage clinique;Repérage clinique;24;ECG pathologique : QT long, signe d’antécédents coronarien, bloc de conduction cardiaque, signe d’HVG, ACFA;radio;Oui|Non;;Oui;ECG pathologique;"ECG à consigner dans le dossier. Demander un avis cardiologique pour bilan en cas de signes pathologiques | Précaution en fonction des anomalies : -attention aux traitements si QT allongés -attention aux efforts physique avant la consultation dédiée si signe de coronaropathie -Débuter un traitement par NACO si possible en cas d’ACFA avec score de SCHADSvasc élevé -Recherche des antécédents de syncope en cas de bloc de conduction"
Repérage clinique;Repérage clinique;25;Bruits anormaux à l’auscultation pulmonaire;radio;Oui|Non;;Oui;Bruits anormaux à l’auscultation pulmonaire;"En cas de bruits anormaux à l’auscultation pulmonaire : imagerie +- avis pneumologique en fonction des résultats"
Repérage clinique;Repérage clinique;26;Désaturation de repos;radio;Oui|Non;;Oui;Désaturation de repos;"Désaturation de repos consigner dans le dossier. Imagerie pneumologique + gaz du sang + avis pneumologique"
Repérage clinique;Repérage clinique;27;Hernie ombilicale ou inguinale;radio;Oui|Non;;Oui;Hernie ombilicale ou inguinale;"Devant une hernie ombilicale ou inguinale, avis auprès du chirurgien digestif sur la nécessité d’une intervention"
Repérage clinique;Repérage clinique;28;Organomégalie;radio;Oui|Non;;Oui;Organomégalie;"Devant une organomégalie, imagerie abdominale, bilan biologique spécifique +- avis gastroentérologique"
Repérage clinique;Repérage clinique;29;Masse abdominale;radio;Oui|Non;;Oui;Masse abdominale;"Devant une masse abdominale, imagerie + bilan biologique spécifique + avis gastroentérologique"
Repérage clinique;Repérage clinique;30;Fécalome au toucher rectal (examen à discuter selon la situation);radio;Oui|Non;;Oui;Fécalome;"En cas de fécalome, laxatifs : suppositoire, lavement +- osmotique per os"
Repérage clinique;Repérage clinique;31;Masse rectale au toucher rectal (examen à discuter selon la situation);radio;Oui|Non;;Oui;Masse rectale;"En cas de masse rectale, imagerie + bilan biologique spécifique + avis gastroentérologique"
Repérage clinique;Repérage clinique;32;Masse mammaire suspecte;radio;Oui|Non;;Oui;Masse mammaire suspecte;"En cas de masse mammaire, mammographie +- échographie mammaire +- avis gynécologique en fonction des résultats"
Repérage clinique;Repérage clinique;33;Hypertrophie prostatique au toucher rectal (examen à discuter selon la situation);radio;Oui|Non;;Oui;Hypertrophie prostatique;"En cas d’hypertrophie prostatique, réévaluation des symptômes cliniques +-échographie vésico-prostatique et avis urologique"
Repérage clinique;Repérage clinique;34;Masse prostatique au toucher rectal (examen à discuter selon la situation);radio;Oui|Non;;Oui;Masse prostatique;"En cas de masse prostatique, PSA, échographie vésico-prostatique et avis urologique. Réévaluation des symptômes cliniques"
Repérage clinique;Repérage clinique;35;Prolapsus (cystocèle,
